,SYMBOL,logFC,ENSEMBL,ENTREZID
269,CHRND,0.04751884,ENSG00000135902,1144
270,CHRNE,-1.00703995,ENSG00000108556,1145
271,CHRNG,1.771836515,ENSG00000196811,1146
272,P2RX1,1.3705053,ENSG00000108405,5023
273,P2RX2,-0.5803951999999999,ENSG00000187848,22953
274,P2RX3,-0.11207806099999999,ENSG00000109991,5024
275,P2RX4,0.155942869,ENSG00000135124,5025
276,P2RX5,-0.09486263800000001,ENSG00000083454,5026
277,P2RX7,0.464966373,ENSG00000089041,5027
278,P2RX6,-1.314686826,ENSG00000099957,9127
279,CGA,-1.772721565,ENSG00000135346,1081
280,GRIA1,-0.48374466299999996,ENSG00000155511,2890
281,GRIA2,-0.73283474,ENSG00000120251,2891
282,GRIA3,-0.897494575,ENSG00000125675,2892
283,GRIA4,-1.1460849229999999,ENSG00000152578,2893
284,GRIK1,1.331696668,ENSG00000171189,2897
285,GRIK2,-0.5043298429999999,ENSG00000164418,2898
286,GRIK3,0.444274117,ENSG00000163873,2899
287,GRIK4,1.1786447070000001,ENSG00000149403,2900
288,GRIK5,-0.34360965299999996,ENSG00000105737,2901
289,GRID1,-0.169922147,ENSG00000182771,2894
290,GRID2,0.0009579860000000001,ENSG00000152208,2895
291,GLRA1,-1.048605615,ENSG00000145888,2741
292,GLRA2,0.158207234,ENSG00000101958,2742
293,GLRA3,2.206386085,ENSG00000145451,8001
294,GLRB,-0.713310835,ENSG00000109738,2743
295,TSPO,1.990388845,ENSG00000100300,706
296,NR3C1,-0.374322385,ENSG00000113580,2908
297,GH1,-1.113727482,ENSG00000259384,2688
298,GH2,-2.0441582680000003,ENSG00000136487,2689
299,CSH1,0.36803319799999995,ENSG00000136488,1442
300,GHR,0.330120427,ENSG00000112964,2690
301,THRA,0.508740289,ENSG00000126351,7067
302,THRB,0.618437349,ENSG00000151090,7068
303,LEP,2.301319869,ENSG00000174697,3952
304,LEPR,-0.004836728,ENSG00000116678,3953
305,PRL,1.536442755,ENSG00000172179,5617
306,PRL,1.536442755,ENSG00000172179,5617
