,2,logFC
92,IFNE,0.0387803426252589
93,IFNG,0.224097997149892
94,IL1A,1.3718692095816398
95,IL1B,-0.20624243930673
96,IL1RN,0.43387707156023
97,IL36RN,0.10565211068633
98,IL36A,-0.23992861147771
99,IL36B,0.598679173229618
100,IL36G,0.700917855491457
101,IL1F10,-0.7279936748495459
102,IL37,-1.58574379119389
103,IL18,-0.18331432222879898
104,IL33,-0.550422054523319
105,IL17A,0.43988377796489203
106,IL17F,-1.48014149532795
107,IL17B,-0.225469543890864
108,IL17C,-1.4448016760267601
109,IL17D,0.662506679696079
110,IL25,-0.8897032829447841
111,IL16,0.00922975774139534
112,IL32,-0.9549363506817959
113,IL34,-2.1581203013776
114,CSF1,0.7447444949631409
115,TNF,-1.90050032550245
116,LTA,-1.90557775569862
117,LTB,0.6642732488586129
118,TNFSF14,1.2113011503618898
119,FASLG,-0.120666324972842
120,TNFSF15,0.035325363843171
121,TNFSF10,0.7269044097936059
122,EDA,-0.516879111654869
123,NGF,1.1356964292708402
124,TNFSF11,-2.35436659875039
125,CD70,-0.48307233430695296
126,TNFSF8,0.450906809635056
127,CD40LG,-0.10068410017078801
128,TNFSF9,-1.1462754457148998
129,TNFSF4,-0.684549369367044
130,TNFSF18,1.4863327410240301
131,TNFSF13,0.34294825625873
132,TNFSF13B,1.38505432923914
133,TGFB1,0.36204565118679904
134,TGFB2,-0.15141355880711901
135,TGFB3,-0.0361597453301634
136,GDF15,-1.27689846383354
137,GDF2,-0.0938862501660171
138,BMP10,-1.1425374492680902
139,INHA,-0.0187186753654114
140,BMP3,-0.5565326547231371
141,GDF10,-0.623859261493052
142,GDF11,-0.26911773963984303
143,MSTN,-1.9689763703420502
144,INHBA,0.6371367087210439
145,INHBB,0.37738233512106106
146,GDF3,-0.37917875695048103
147,NODAL,0.37656515862407
148,GDF9,-0.0731711102462071
149,INHBC,0.0423851995860165
150,INHBE,0.278066116868158
151,BMP2,1.23015923124229
152,BMP4,0.134000435248682
153,GDF5,0.860794900365226
154,BMP15,2.61652187837221
155,BMP5,0.7933920777589549
156,BMP6,0.9809875652700741
157,BMP7,-0.0371662883531547
158,BMP8B,1.86201901597017
159,BMP8A,-1.09006883326979
160,CCR8,0.33038155610041
161,CCR9,1.51428876668762
162,ACKR4,0.899870325731182
163,CCR7,-1.17756787747757
164,CCR4,-1.41123233220162
165,CCR5,0.499234581049856
166,CCR3,0.25108383835348896
167,CCR2,2.0410669972632
168,CCR1,-0.861204679512193
169,CCR10,0.713397191458536
170,CCR6,2.08539802012645
171,CXCR1,-1.65706981805646
172,CXCR2,0.0203159968793569
173,CXCR3,-0.17892980563138802
174,CXCR5,-0.0504927541533386
175,CXCR4,-1.3411158264299798
176,ACKR3,0.7577619377734209
177,CXCR6,-0.219684687340335
178,XCR1,-0.8103482407468391
179,CX3CR1,-0.93124613047978
180,IL2RA,0.0234784304796083
181,IL2RB,-0.712411819481394
182,IL2RG,-0.9288193040227471
183,IL4R,-0.822859130650384
184,IL7R,-0.881839179211008
185,IL9R,-0.0625542557691787
186,IL15RA,-0.414082310947062
187,IL21R,-0.0968492123923506
188,CRLF2,0.46230703532581796
189,IL3RA,-0.9747906211266351
190,CSF2RB,1.20300229512524
191,IL5RA,-1.6377695753953099
192,CSF2RA,-0.39875452035729
193,IL13RA1,-1.03156198054839
194,IL13RA2,0.692556718325596
195,EPOR,0.475053490059455
196,GHR,0.330120427039291
197,PRLR,0.12884682883308501
198,MPL,0.8625910803543859
199,CSF3R,-0.309650082652928
200,LEPR,-0.0048367279220640205
201,IL6R,1.6396064583888799
202,IL6ST,0.0680092740856875
203,IL11RA,-0.955196880264219
204,IL12RB1,0.25594974202399695
205,IL12RB2,2.20800595539837
206,IL23R,0.129882680356893
207,IL27RA,-0.19344322188226998
208,IL31RA,-1.4972838793823897
209,CNTFR,0.8080356082370379
210,LIFR,0.5258092748920801
211,OSMR,-0.648706193335228
212,IL10RA,0.0719835714837371
213,IL10RB,0.5163787097426961
214,IL20RA,-2.12909317590423
215,IL20RB,-1.2200943936868
216,IL22RA1,-0.0594290254110286
217,IFNLR1,0.7987610641771491
218,IFNAR1,0.129471014909
219,IFNAR2,-0.5173089091320949
220,IFNGR1,0.34251491386084104
221,IFNGR2,0.0970581408427975
222,IL1R1,-0.156482620002376
223,IL1RAP,2.0679156956046
224,IL1R2,-0.5196330177688621
225,IL1RL2,-0.850295116504616
226,IL18R1,-0.7631368822524491
227,IL18RAP,-0.276492654058337
228,IL1RL1,-2.1155302609948
229,IL17RA,-0.410578129507421
230,IL17RC,1.49719503866097
231,IL17RB,-0.25588163585685
232,IL17RE,0.0120941242308428
233,CD4,0.258921366038522
234,CSF1R,0.37757616949069106
235,TNFRSF1A,-0.386398713002373
236,TNFRSF1B,-0.379735625894787
237,LTBR,0.280623629479146
238,TNFRSF14,-0.567104720126787
239,FAS,0.41685802827801005
240,TNFRSF25,0.61469752348625
241,TNFRSF10A,0.27532141191203197
242,TNFRSF10B,0.491919389064146
243,TNFRSF10C,-0.5577373537104201
244,TNFRSF10D,0.0847273192053803
245,TNFRSF21,-0.274194444656999
246,EDAR,-0.0285410670471586
247,EDA2R,-0.38253091935528005
248,NGFR,-0.520914661637207
249,TNFRSF11B,-0.505702345935751
250,TNFRSF11A,-0.0884665160770055
251,TNFRSF12A,0.26532652898121
252,CD27,0.0416593217273791
253,TNFRSF8,-0.361513608321761
254,CD40,-0.33704458201321197
255,TNFRSF9,-0.933290199498518
256,TNFRSF4,1.5181319655556398
257,TNFRSF18,1.1959650273861102
258,TNFRSF17,1.00471868098174
259,TNFRSF13B,1.205568488634
260,TNFRSF13C,0.8458751090174741
261,TNFRSF19,1.27235454814766
262,RELT,-0.0907776717750908
263,TGFBR1,-0.285928262744616
264,TGFBR2,0.447927293613162
265,ACVRL1,0.0246605775809492
266,ACVR2A,-0.0550458317046987
267,BMPR2,-0.310728763287601
268,ACVR2B,0.41310044851772293
269,ACVR1B,-0.426633787990497
270,ACVR1C,0.27846985568193
271,ACVR1,0.0914112070783268
272,AMHR2,-1.08428680597842
273,BMPR1A,0.361065192296611
